,Name,Address,입점수,광역시도,시도
189,빽다방,대전광역시 서구,10,대전광역시,서구
190,빽다방,대구광역시 달서구,6,대구광역시,달서구
191,빽다방,인천광역시 연수구,8,인천광역시,연수구
192,빽다방,인천광역시 연수구,8,인천광역시,연수구
193,빽다방,대구광역시 달성군,2,대구광역시,달성군
194,빽다방,대전광역시 서구,10,대전광역시,서구
195,빽다방,광주광역시 서구,3,광주광역시,서구
196,빽다방,대전광역시 중구,7,대전광역시,중구
197,빽다방,울산광역시 동구,2,울산광역시,동구
198,빽다방,대구광역시 달서구,6,대구광역시,달서구
199,빽다방,인천광역시 남구,5,인천광역시,남구
200,빽다방,대구광역시 달서구,6,대구광역시,달서구
201,빽다방,인천광역시 남동구,18,인천광역시,남동구
202,빽다방,인천광역시 서구,4,인천광역시,서구
203,빽다방,광주광역시 동구,4,광주광역시,동구
204,빽다방,인천광역시 남동구,18,인천광역시,남동구
205,빽다방,인천광역시 남동구,18,인천광역시,남동구
206,빽다방,대전광역시 동구,4,대전광역시,동구
207,빽다방,대구광역시 북구,5,대구광역시,북구
208,빽다방,울산광역시 남구,5,울산광역시,남구
209,빽다방,대전광역시 유성구,6,대전광역시,유성구
210,빽다방,인천광역시 연수구,8,인천광역시,연수구
211,빽다방,인천광역시 남동구,18,인천광역시,남동구
212,빽다방,대전광역시 유성구,6,대전광역시,유성구
213,빽다방,대전광역시 서구,10,대전광역시,서구
214,빽다방,인천광역시 계양구,3,인천광역시,계양구
215,빽다방,대구광역시 수성구,1,대구광역시,수성구
216,빽다방,대구광역시 달서구,6,대구광역시,달서구
217,빽다방,울산광역시 남구,5,울산광역시,남구
218,빽다방,울산광역시 중구,2,울산광역시,중구
219,빽다방,대전광역시 대덕구,2,대전광역시,대덕구
220,빽다방,대전광역시 대덕구,2,대전광역시,대덕구
221,빽다방,대전광역시 동구,4,대전광역시,동구
222,빽다방,인천광역시 남동구,18,인천광역시,남동구
223,빽다방,인천광역시 연수구,8,인천광역시,연수구
224,빽다방,광주광역시 북구,2,광주광역시,북구
225,빽다방,대구광역시 북구,5,대구광역시,북구
226,빽다방,인천광역시 남동구,18,인천광역시,남동구
227,빽다방,대전광역시 서구,10,대전광역시,서구
228,빽다방,인천광역시 남동구,18,인천광역시,남동구
229,빽다방,인천광역시 남동구,18,인천광역시,남동구
230,빽다방,대전광역시 유성구,6,대전광역시,유성구
231,빽다방,인천광역시 남구,5,인천광역시,남구
232,빽다방,인천광역시 연수구,8,인천광역시,연수구
233,빽다방,인천광역시 남동구,18,인천광역시,남동구
234,빽다방,인천광역시 부평구,2,인천광역시,부평구
235,빽다방,대구광역시 달서구,6,대구광역시,달서구
236,빽다방,대구광역시 중구,4,대구광역시,중구
237,빽다방,대전광역시 서구,10,대전광역시,서구
238,빽다방,광주광역시 북구,2,광주광역시,북구
239,빽다방,대전광역시 서구,10,대전광역시,서구
240,빽다방,대전광역시 유성구,6,대전광역시,유성구
241,빽다방,대전광역시 서구,10,대전광역시,서구
242,빽다방,대전광역시 중구,7,대전광역시,중구
243,빽다방,대구광역시 중구,4,대구광역시,중구
244,빽다방,광주광역시 동구,4,광주광역시,동구
245,빽다방,울산광역시 북구,1,울산광역시,북구
246,빽다방,인천광역시 남동구,18,인천광역시,남동구
247,빽다방,대전광역시 서구,10,대전광역시,서구
248,빽다방,울산광역시 중구,2,울산광역시,중구
249,빽다방,대구광역시 동구,2,대구광역시,동구
250,빽다방,인천광역시 남동구,18,인천광역시,남동구
251,빽다방,대구광역시 북구,5,대구광역시,북구
252,빽다방,대구광역시 북구,5,대구광역시,북구
253,빽다방,울산광역시 남구,5,울산광역시,남구
254,빽다방,인천광역시 남동구,18,인천광역시,남동구
255,빽다방,인천광역시 부평구,2,인천광역시,부평구
256,빽다방,대전광역시 동구,4,대전광역시,동구
257,빽다방,대구광역시 북구,5,대구광역시,북구
258,빽다방,광주광역시 동구,4,광주광역시,동구
259,빽다방,대구광역시 중구,4,대구광역시,중구
260,빽다방,대전광역시 중구,7,대전광역시,중구
261,빽다방,인천광역시 서구,4,인천광역시,서구
262,빽다방,울산광역시 남구,5,울산광역시,남구
263,빽다방,광주광역시 광산구,2,광주광역시,광산구
264,빽다방,인천광역시 남동구,18,인천광역시,남동구
265,빽다방,인천광역시 남동구,18,인천광역시,남동구
266,빽다방,대전광역시 유성구,6,대전광역시,유성구
267,빽다방,대전광역시 동구,4,대전광역시,동구
268,빽다방,울산광역시 동구,2,울산광역시,동구
269,빽다방,대전광역시 중구,7,대전광역시,중구
270,빽다방,인천광역시 남동구,18,인천광역시,남동구
271,빽다방,대전광역시 서구,10,대전광역시,서구
272,빽다방,대전광역시 중구,7,대전광역시,중구
273,빽다방,세종특별자치시 세종특별자치시,3,세종특별자치시,세종특별자치시
274,빽다방,인천광역시 서구,4,인천광역시,서구
275,빽다방,대전광역시 유성구,6,대전광역시,유성구
276,빽다방,대구광역시 중구,4,대구광역시,중구
277,빽다방,인천광역시 연수구,8,인천광역시,연수구
278,빽다방,인천광역시 중구,4,인천광역시,중구
279,빽다방,대구광역시 달서구,6,대구광역시,달서구
280,빽다방,인천광역시 연수구,8,인천광역시,연수구
