,광역시도,시도,입점수,ID
189,전라북도,고창군,1,고창
190,전라북도,군산시,11,군산
191,전라북도,김제시,4,김제
192,전라북도,남원시,2,남원
193,전라북도,덕진구,19,전주 덕진
194,전라북도,무주군,1,무주
195,전라북도,부안군,3,부안
196,전라북도,순창군,1,순창
197,전라북도,완산구,27,전주 완산
198,전라북도,완주군,5,완주
199,전라북도,익산시,11,익산
200,전라북도,임실군,1,임실
201,전라북도,장수군,1,장수
202,전라북도,정읍시,4,정읍
203,전라북도,진안군,1,진안
204,제주특별자치도,서귀포시,7,서귀포
205,제주특별자치도,제주시,9,제주
206,충청남도,공주시,4,공주
207,충청남도,금산군,1,금산
208,충청남도,논산시,3,논산
209,충청남도,당진시,5,당진
210,충청남도,동남구,11,천안 동남
211,충청남도,보령시,2,보령
212,충청남도,부여군,1,부여
213,충청남도,서북구,10,천안 서북
214,충청남도,서산시,9,서산
215,충청남도,서천군,2,서천
216,충청남도,아산시,9,아산
217,충청남도,예산군,3,예산
218,충청남도,태안군,2,태안
219,충청남도,홍성군,2,홍성
220,충청북도,괴산군,1,괴산
221,충청북도,단양군,1,단양
222,충청북도,보은군,1,보은
223,충청북도,상당구,6,청주 상당
224,충청북도,서원구,11,청주 서원
225,충청북도,영동군,1,영동
226,충청북도,옥천군,1,옥천
227,충청북도,음성군,4,음성
228,충청북도,제천시,6,제천
229,충청북도,증평군,2,증평
230,충청북도,진천군,3,진천
231,충청북도,청원구,11,청주 청원
232,충청북도,충주시,6,충주
233,충청북도,흥덕구,11,청주 흥덕
