brand,address,count
이디야커피,경상북도 구미시,11
이디야커피,경상북도 영주시,4
이디야커피,경상북도 영천시,2
이디야커피,경상북도 상주시,2
이디야커피,경상북도 문경시,2
이디야커피,경상북도 경산시,7
이디야커피,경상북도 군위군,1
이디야커피,경상북도 의성군,1
이디야커피,경상북도 청송군,1
이디야커피,경상북도 영양군,1
이디야커피,경상북도 영덕군,2
이디야커피,경상북도 청도군,2
이디야커피,경상북도 고령군,1
이디야커피,경상북도 성주군,1
이디야커피,경상북도 칠곡군,3
이디야커피,경상북도 예천군,2
이디야커피,경상북도 봉화군,1
이디야커피,경상북도 울진군,2
이디야커피,경상북도 울릉군,1
이디야커피,경상남도 창원시,42
이디야커피,경상남도 진주시,21
이디야커피,경상남도 통영시,3
이디야커피,경상남도 사천시,4
이디야커피,경상남도 김해시,31
이디야커피,경상남도 밀양시,3
이디야커피,경상남도 거제시,7
이디야커피,경상남도 양산시,17
이디야커피,경상남도 의령군,1
이디야커피,경상남도 함안군,1
이디야커피,경상남도 창녕군,2
이디야커피,경상남도 고성군,2
이디야커피,경상남도 남해군,1
이디야커피,경상남도 하동군,1
이디야커피,경상남도 산청군,1
이디야커피,경상남도 함양군,1
이디야커피,경상남도 거창군,1
이디야커피,경상남도 합천군,2
이디야커피,제주특별자치도 제주시,9
이디야커피,제주특별자치도 서귀포시,7
