,ID,CoffeeBean,Ediya,Paikdabang,Starbucks,총매장수
149,김천,0.0,0.0,0.0,2,2.0
150,포항 남구,0.0,0.0,0.0,7,7.0
151,문경,0.0,0.0,0.0,1,1.0
152,광주 남구,0.0,0.0,0.0,7,7.0
153,대구 서구,0.0,0.0,0.0,1,1.0
154,부산 강서,0.0,0.0,0.0,2,2.0
155,부산 동구,0.0,0.0,0.0,2,2.0
156,부산 사상,0.0,0.0,0.0,3,3.0
157,부산 서구,0.0,0.0,0.0,3,3.0
158,서울 도봉,0.0,0.0,0.0,2,2.0
159,인천 동구,0.0,0.0,0.0,1,1.0
160,인천 미추홀,0.0,0.0,0.0,4,4.0
161,나주,0.0,0.0,0.0,1,1.0
162,군산,0.0,0.0,0.0,2,2.0
163,계룡,0.0,0.0,0.0,1,1.0
164,제천,0.0,0.0,0.0,1,1.0
