,광역시도,시도,입점수,ID,y,x
0,강원도,원주시,1.0,원주,5,10
1,경기도,광명시,1.0,광명,4,4
2,경기도,구리시,1.0,구리,3,8
3,경기도,군포시,1.0,군포,9,5
4,경기도,권선구,1.0,수원 권선,10,5
5,경기도,기흥구,1.0,용인 기흥,9,8
6,경기도,김포시,2.0,김포,3,4
7,경기도,남양주시,1.0,남양주,2,7
8,경기도,덕양구,1.0,고양 덕양,2,3
9,경기도,동안구,3.0,안양 동안,5,3
10,경기도,만안구,1.0,안양 만안,4,3
11,경기도,분당구,9.0,성남 분당,8,7
12,경기도,소사구,1.0,부천 소사,4,2
13,경기도,수정구,1.0,성남 수정,8,8
14,경기도,수지구,1.0,용인 수지,8,9
15,경기도,영통구,2.0,수원 영통,9,7
16,경기도,원미구,3.0,부천 원미,5,2
17,경기도,이천시,1.0,이천,6,9
18,경기도,일산동구,4.0,고양 일산동,2,4
19,경기도,일산서구,2.0,고양 일산서,3,3
20,경기도,장안구,2.0,수원 장안,10,6
21,경기도,파주시,2.0,파주,3,2
22,경기도,팔달구,3.0,수원 팔달,11,6
23,경기도,평택시,1.0,평택,11,4
24,경기도,하남시,1.0,하남,3,9
25,경기도,화성시,5.0,화성,9,3
26,경상남도,성산구,1.0,창원 성산,20,7
27,경상남도,의창구,1.0,창원 의창,20,6
28,경상남도,진주시,1.0,진주,18,6
29,경상북도,경주시,1.0,경주,12,12
30,경상북도,북구,1.0,포항 북구,10,12
31,광주광역시,서구,1.0,광주 서구,22,2
32,대구광역시,중구,1.0,대구 중구,14,9
33,대전광역시,서구,2.0,대전 서구,16,4
34,부산광역시,기장군,1.0,부산 기장,16,12
35,부산광역시,부산진구,2.0,부산 부산진,17,10
36,부산광역시,수영구,1.0,부산 수영,20,11
37,부산광역시,중구,2.0,부산 중구,18,11
38,부산광역시,해운대구,2.0,부산 해운대,17,12
39,서울특별시,강남구,12.0,서울 강남,8,6
40,서울특별시,강동구,3.0,서울 강동,5,8
41,서울특별시,강북구,1.0,서울 강북,3,5
42,서울특별시,강서구,3.0,서울 강서,6,4
43,서울특별시,관악구,1.0,서울 관악,7,5
44,서울특별시,광진구,1.0,서울 광진,6,7
45,서울특별시,구로구,1.0,서울 구로,9,4
46,서울특별시,노원구,1.0,서울 노원,2,6
47,서울특별시,동대문구,2.0,서울 동대문,4,7
48,서울특별시,마포구,7.0,서울 마포,5,5
49,서울특별시,서대문구,1.0,서울 서대문,4,5
50,서울특별시,서초구,8.0,서울 서초,7,6
51,서울특별시,성북구,2.0,서울 성북,3,6
52,서울특별시,송파구,11.0,서울 송파,6,8
53,서울특별시,양천구,1.0,서울 양천,7,4
54,서울특별시,영등포구,3.0,서울 영등포,8,4
55,서울특별시,용산구,2.0,서울 용산,6,6
56,서울특별시,은평구,1.0,서울 은평,5,4
57,서울특별시,종로구,5.0,서울 종로,4,6
58,서울특별시,중구,3.0,서울 중구,5,6
59,서울특별시,중랑구,1.0,서울 중랑,4,8
60,세종특별자치시,세종시,1.0,세종,13,4
61,울산광역시,남구,2.0,울산 남구,15,12
62,인천광역시,남동구,1.0,인천 남동,10,2
63,인천광역시,부평구,1.0,인천 부평,8,2
64,인천광역시,연수구,2.0,인천 연수,10,1
65,인천광역시,중구,4.0,인천 중구,9,1
66,충청남도,동남구,1.0,천안 동남,11,2
67,충청북도,상당구,1.0,청주 상당,14,6
68,충청북도,흥덕구,1.0,청주 흥덕,12,7
69,0,0,0.0,철원,0,7
70,0,0,0.0,화천,0,8
71,0,0,0.0,양구,0,9
72,0,0,0.0,고성(강원),0,10
73,0,0,0.0,양주,1,3
74,0,0,0.0,동두천,1,4
75,0,0,0.0,연천,1,5
76,0,0,0.0,포천,1,6
77,0,0,0.0,의정부,1,7
78,0,0,0.0,인제,1,8
79,0,0,0.0,춘천,1,9
80,0,0,0.0,속초,1,10
81,0,0,0.0,서울 도봉,2,5
82,0,0,0.0,홍천,2,8
83,0,0,0.0,횡성,2,9
84,0,0,0.0,양양,2,10
85,0,0,0.0,가평,3,7
86,0,0,0.0,정선,3,10
87,0,0,0.0,강릉,3,11
88,0,0,0.0,양평,4,9
89,0,0,0.0,태백,4,10
90,0,0,0.0,동해,4,11
