,Name,Address,Lat,Log,광역시도,시도,입점수
0,서초동점, 서울특별시 서초구 반포대로70 ,37.48669594836946,127.01053356053066,서울특별시,서초구,1
1,교대법원점, 서울 서초구 서초중앙로 156,37.49563363637424,127.01353830115816,서울특별시,서초구,1
2,동대입구역점, 서울시 중구 장충동2가 188-11,37.559735175300005,127.00521985440001,서울특별시,중구,1
3,잠실향군타워점,  서울특별시 송파구 올림픽로35길 123 1층 ,37.5165772506,127.1012240086,서울특별시,송파구,1
4,종로센트로폴리스점, 서울시 종로구 우정국로 26 센트로폴리스 1층 Retail 1-5,37.571497564699996,126.98365878860001,서울특별시,종로구,1
5,상수역점, 서울시 마포구 와우산로10길 3,37.548127077,126.9231854432,서울특별시,마포구,1
6,종로구청앞점, 서울특별시 종로구 종로3길 34 ,37.5718753301,126.97947942809999,서울특별시,종로구,1
7,경희대점, 서울시 동대문구 경희대로 10 (회기동) ,37.592404413400004,127.0526652102,서울특별시,동대문구,1
8,문정동환인제약빌딩점, 서울특별시 송파구 법원로6길 11 환인빌딩 1층  ,37.48366344805654,127.12225036929932,서울특별시,송파구,1
9,새문안로점, 서울특별시 종로구 새문안로 91 고려빌딩 1,37.570486883200005,126.97476179520001,서울특별시,종로구,1
10,선릉역3번출구세방빌딩점, 서울특별시 강남구 선릉로 433 세방빌딩 1층 ,37.503772984099996,127.04891598280001,서울특별시,강남구,1
11,신용산역래미안점, 서울시 용산구 한강대로95 ,37.5288190969,126.9666528833,서울특별시,용산구,1
12, IFC MALL3호점, 서울시 영등포구 국제금융로10 IFC Mall L2(2층) ,37.5251778863,126.9248787429,서울특별시,영등포구,1
13,방이역4번출구점, 서울 송파구 방이동 206-11 ,37.5093528229,127.125789418,서울특별시,송파구,1
14,마곡마커스빌딩점 , 서울특별시 강서구 마곡동로 55 마커스빌딩 1층 ,37.5600677343,126.83303641319999,서울특별시,강서구,1
15,양천향교역점, 서울특별시 강서구 강서로 457(마곡동) ,37.5662443594,126.84042069870002,서울특별시,강서구,1
